form	POS
babuju	n
.	punc

ji	p.pers
ta	case.dat
śaḍa	n
cha	num
mha	cs.anim
biva	v.ipv
dhālaṃ	v.perf.past
.	punc

babujunaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
pāpa	n
sta	n
mhyāca	n
.	punc

sabhābhraṣṭa	n
.	punc

ji	p.pers
ko	adv.dir
henakumha	n
.	punc

pi	adv.dir
tiṅāva	cv.ant
chova	v.ipv
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

thana	adv.man
maṃtrī	n
cha	num
mha	cs.anim
sena	case.erg.h
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārāja	n
.	punc

thva	d.dem
thakuniyāta	n
*chalapola	n
yā	case.gen
fn30	fol
atina	n
ajāka	n
śaḍa	n
cha	num
mha	cs.anim
biyāva	cv.ant
choya	v.n
ma	neg
du	v.impst
lā	cl.inter
.	punc

thana	adv.man
thva	d.dem
śaḍanaṃ	v.perf.past
huyakaṃ	v.perf.past
yanyāva	cv.ant
syāyu	n
.	punc

thva	d.dem
ma	neg
datanā	n
sa	case.loc.inan
.	punc

thva	d.dem
rānīcā	n
byene	v.n
.	punc

bisye	v.n
chohune	v.n
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
maṃtrī	n
.	punc

āsā	n
biyāva	cv.ant
chova	v.ipv
dhālaṃ	v.perf.past
.	punc

thana	n
atinaṃ	d.quant
ajāka	adj
śaḍa	n
cha	num
mha	cs.anim
.	punc

sunānaṃ	p.indef
pāsa	n
yaya	v.n
ma	neg
chāla	v.perf.past
.	punc

parakhānaṃ	adv.conj
du	v.impst
panakaṃ	v.perf.past
tāya	v.n
śaḍa	v.perf.past
.	punc

thvayāta	n
ghāca	n
biyata	n
pi	adv.dir
kāyu	n
bela	n
sa	case.loc.inan
.	punc

thva	d.dem
śaḍa	n
khaṅāva	cv.ant
.	punc

kataka	n
bisye	v.n
vaṇa	v.perf.past
.	punc

thathiṃṅa	p.correl
ajāta	n
śaḍa	n
rānīcā	n
na	case.abl
rājā	n
yā	case.gen
ṅhavane	post.gen
yaṇāva	cv.ant
bilaṃ	v.perf.past
.	punc

cola	v.impst
sa	case.loc.inan
yaṅā	v.perf.part
thyaṃ	post.abs
yanagū	n
babunaṃ	adv.man
svayāva	cv.ant
*kautuka	n
(fn9a)	fol
cāsyaṃ	v.co
conaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
puruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
chī	n
strī	n
.	punc

ji	p.pers
na	case.erg
thama	p.refl
naṃ	case.erg
śaḍa	n
gaya	v.n
ma	neg
phu	v.impst
.	punc

chana	p.pers
śaḍa	n
gayakāva	cv.ant
chova	v.ipv
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

thathye	adv.man
nvāṅaṃ	adv.conj
coṅa	v.impst
bela	n
sa	case.loc.inan
babumha	n
rājā	n
.	punc

anega	d.quant
sakhāyanaṃ	n
licakāva	cv.ant
.	punc

śaḍa	n
gayāva	cv.ant
.	punc

dhanu	n
.	punc

balā	cv.cond
.	punc

taraka	n
.	punc

kamā	n
na	case.erg
.	punc

taḍuvāra	n
jvaṅāva	cv.ant
ahala	n
vanaṃ	v.perf.past
.	punc

thva	d.dem
ahara	n
vava	v.impst
khaṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

huṃhuṃ	p.indef
chana	p.pers
babuju	n
.	punc

ahala	n
vanīno	v.perf.past
.	punc

kāva	cv.ant
tāla	n
lācakīva	cv.ant
dhāsyaṃ	v.perf.past
.	punc

śaḍa	n
gayāva	cv.ant
beganaṃ	adv.conj
babu	n
yā	case.gen
sinaṃ	adv.man
.	punc

nhāpā	adv.temp
rācakaṃ	v.perf.past
banāntara	n
vanaṃ	v.perf.past
.	punc

thana	n
samasta	d.quant
mahā	adj
suṃdari	n
juyāva	cv.ant
li	cv.anter
lāhāta	n
curi	n
vayāva	cv.ant
.	punc

anega	d.quant
banacara	n
rāta	v.perf.past
.	punc

lāṅāva	cv.ant
rā	cl.inter
pha	n
.	punc

hariṇi	n
.	punc

śatachi	num
.	punc

ni	num
śala	n
.	punc

lāṅāva	cv.ant
.	punc

nhasapota	n
juko	n
dhyanāva	cv.ant
tolatāva	cv.ant
chotaṃ	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
babumha	p.correl
rājā	n
naṃ	case.erg
.	punc

anega	d.quant
carā	n
lāṅāva	cv.ant
.	punc

śatachi	num
.	punc

ni	num
śara	n
syāṅāva	cv.ant
.	punc

sakhāya	n
panisena	case.erg.h.pl
jvanakāva	cv.ant
lihā	adv.dir
bijyāka	v.impst
tvaṃ	v.co
julo	v.perf.past
||	punc

thana	n
rājācā	n
lihā	adv.dir
ma	neg
vayāva	cv.ant
rānīcā	n
khosya	v.co
khosya	n
hālāva	cv.ant
conaṃ	v.perf.past
.	punc

thva	d.dem
puruṣa	n
lihā	adv.dir
ma	neg
valasā	cv.cond
.	punc

jiṃ	adv.freq
siya	v.n
dhakaṃ	v.dhak
coṅa	v.impst
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
puruṣa	n
rājācā	v.perf.part
.	punc

śaḍa	n
gayāva	cv.ant
lihā	adv.dir
vava	v.impst
julo	v.perf.past
.	punc

thana	n
rānīnaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
prabhū	n
svāmī	n
.	punc

chāna	adv.inter
nanānaṃ	adv.dur
ma	neg
bijyān	cv.ant
yā	case.gen
.	punc

bijyāhuni	v.ipv
huni	v.ipv
dhakaṃ	v.dhak
tuti	n
cāyakāva	cv.ant
.	punc

bhoka	n
puyāva	cv.ant
duta	adv.dir
bonyāva	cv.ant
yanaṃ	v.perf.past
.	punc

thana	n
calā	n
yā	case.gen
nhasapota	n
.	punc

ni	num
śala	n
jvanyāva	cv.ant
vava	v.impst
juro	v.perf.past
||	punc

thvayāṃ	n
sati	n
ṣunu	v.ipv
.	punc

kalātayāta	n
dhālaṃ	v.perf.past
.	punc

bho	interj
strī	n
thva	d.dem
śaḍa	n
lita	adv.dir
bihuni	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

śaḍa	n
lita	adv.dir
biyakala	n
chotaṃ	v.perf.past
.	punc

fn31	fol
thana	adv.man
padmābati	n
rānīcānaṃ	case.erg.h.pl
śaḍa	n
cola	v.impst
sa	case.loc.inan
jvaṅā	v.perf.part
thyaṃ	post.abs
jvanyāva	cv.ant
babu	n
yāke	case.loc.an
vaṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
babuju	n
thva	d.dem
śaḍa	n
gāto	v.perf.past
.	punc

lita	adv.dir
kāhuni	v.ipv
dhālam	v.perf.past
.	punc

thana	n
rājābabunaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
sabhāloka	n
thva	d.dem
ajāta	n
śaḍa	n
colasaṃ	v.co
ha	n
yā	case.gen
thyaṃ	post.abs
haya	v.perf.past
phava	v.impst
.	punc

dhaka	v.dhak
dhāsyaṃ	v.perf.past
.	punc

sumuka	n
conaṃ	v.perf.past
.	punc

thana	p.pers
rānīcā	n
lihā	adv.dir
vanaṃ	v.perf.past
||	punc

thva	d.dem
yā	case.gen
sati	n
ṣu	n
nhu	cs.time
.	punc

thva	d.dem
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
padmābati	n
.	punc

thva	d.dem
ji	p.pers
kuṣṭa	n
śarīra	n
lāyakyata	v.perf.past
.	punc

chana	p.pers
babuju	n
yāke	case.loc.an
vaṅānyāva	cv.ant
.	punc

calā	n
yā	case.gen
nhasapota	n
yā	case.gen
cokā	v.perf.part
juko	v.perf.past
phoṅaṃ	v.co
hiva	v.np
dhakaṃ	v.dhak
.	punc

mhigo	interj
ahala	n
bijyāka	v.impst
.	punc

*anega	n
(fn9b)	fol
calā	n
lāṅaṃ	v.co
bijyāka	v.impst
.	punc

tha	adv.deg
thya	post.abs
dhaka	v.dhak
rājā	n
.	punc

thuthā	n
jvagibhe	n
sana	n
kalāta	n
yā	case.gen
ṅhavane	post.gen
dhālaṃ	v.perf.past
.	punc

thana	n
padmābatinaṃ	adv.conj
puruṣa	n
yā	case.gen
bacana	n
nyanyāva	cv.ant
.	punc

babu	n
yāke	case.loc.an
vaṅāva	cv.ant
dhālam	v.perf.past
.	punc

bho	interj
babuju	n
.	punc

ji	p.pers
puruṣa	n
yā	case.gen
kuṣṭa	adj
lāyaketa	n
vāsala	n
kāyata	v.perf.past
.	punc

calā	n
yā	case.gen
nhasapotacokā	n
dolachi	num
.	punc

cikudhanya	adj
dhanya	adj
phonyāva	cv.ant
hiva	v.np
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

ji	p.pers
vayā	v.perf.part
.	punc

babuju	n
prasanna	n
juya	v.n
māla	v.perf.past
dhaka	v.dhak
prārthanā	n
yāka	v.impst
.	punc

thana	n
babunaṃ	adv.conj
maṃtrīyāta	n
dhālaṃ	v.perf.past
.	punc

bho	interj
maṃtrī	n
soyāva	cv.ant
biva	v.ipv
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

maṃtrīnaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

ājñā	n
dhāsyaṃ	v.co
calā	n
yā	case.gen
mha	n
patiṃ	d.quant
solaṅāsyaṃ	v.co
nhasapota	n
dhyanā	n
calā	n
juyāva	cv.ant
conaṃ	v.perf.past
.	punc

nhasapota	n
ma	neg
dayāva	cv.ant
ma	neg
bisyaṃ	v.co
chotaṃ	v.perf.past
||	punc

thvanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
rānīcānaṃ	adv.conj
bisyaṃ	v.co
ma	neg
hava	cv.ant
dhālaṃ	v.perf.past
.	punc

puruṣanaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

ma	neg
du	v.impst
dhā	n
lā	cl.inter
.	punc

gathe	n
.	punc

āmo	d.dem
calā	n
ga	n
na	case.erg
lāṅaṃ	v.co
hara	v.perf.past
.	punc

sakale	v.n
calā	n
jinaṃ	adv.man
lāṅāva	cv.ant
nhasapota	n
yā	case.gen
cokā	n
juko	v.perf.past
cī	n
na	case.erg
kāyāva	cv.ant
.	punc

tolatāva	cv.ant
cho	n
yā	case.gen
.	punc

ma	neg
khu	v.impst
lā	cl.inter
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
nhasapota	n
babunaṃ	v.perf.past
lāṅaṃ	v.perf.past
ha	n
yā	case.gen
calā	n
yāke	case.loc.an
chuṅāva	cv.ant
sola	n
huni	v.ipv
.	punc

khava	v.impst
lā	cl.inter
ma	neg
khu	v.impst
lā	cl.inter
dhaka	v.dhak
dhāsyaṃ	v.perf.past
.	punc

calā	n
yā	case.gen
nhasapotacokā	n
biyakala	n
chutaṃ	v.perf.past
||	punc

rānīnaṃ	adv.conj
carā	n
yā	case.gen
nhasapotacokā	n
yanyāva	cv.ant
.	punc

babuju	n
yā	case.gen
sabhā	n
sa	case.loc.inan
yan	v.co
yā	case.gen
dhālaṃ	v.perf.past
.	punc

bho	interj
babuju	n
.	punc

chalapola	p.pers
na	case.erg
lāṅaṃ	v.perf.past
ha	n
yā	case.gen
calā	n
yā	case.gen
nhasapota	n
thva	d.dem
ma	neg
khu	v.impst
lā	cl.inter
.	punc

kāhune	v.n
dhakaṃ	v.dhak
biyāva	cv.ant
rājāsabhā	n
sa	case.loc.inan
.	punc

sakaleṃ	d.quant
ati	adv.deg
adbhūta	n
cālaṃ	v.perf.past
.	punc

hanaṃ	adv.conj
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
sabhāloka	n
.	punc

thva	d.dem
lā	cl.inter
julasā	cv.cond
.	punc

manuṣya	n
ma	neg
khu	v.impst
.	punc

deba	n
yā	case.gen
svabhāba	n
.	punc

chiji	n
sakale	v.n
vanyāva	cv.ant
soya	v.n
nuyo	v.perf.past
dhakaṃ	v.dhak
fn32	fol
dhāyāva	cv.ant
vanaṃ	v.perf.past
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
mahāpuruṣa	n
.	punc

cha	num
su	p.interrog
khava	v.impst
.	punc

manuṣya	n
lā	cl.inter
.	punc

deba	n
lā	cl.inter
.	punc

asura	n
lā	cl.inter
dhakaṃ	v.dhak
nyaṅāva	cv.ant
.	punc

khachi	adv.dur
cha	num
tā	cs.abs
ma	neg
dhāva	v.impst
.	punc

lipatasa	adv.temp
dhālaṃ	v.perf.past
.	punc

ji	p.pers
lā	cl.inter
julasā	cv.cond
.	punc

bikramāditya	n
rājā	n
thukā	evid
dhakaṃ	v.dhak
kanyāva	cv.ant
.	punc

tuti	n
lāhāti	n
sarbāṃga	adj
culi	n
vayakāva	cv.ant
.	punc

mahā	adj
suṃdara	adj
rūpa	n
yānyāva	cv.ant
kenaṃ	v.perf.past
||	punc

thva	d.dem
rājā	n
prabhīti	n
sakala	d.quant
maṃtrī	n
harṣamāna	adj
juyāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
bikramāditya	n
.	punc

nhāpā	adv.temp
aparādha	n
khyamā	n
yāya	v.n
māla	v.perf.past
.	punc

jimisye	n
na	case.erg
ma	neg
siyā	v.perf.part
.	punc

āva	adv.temp
ji	p.pers
misa	n
bhāgyana	n
chalapola	p.pers
jilāja	n
na	case.erg
(fn10a)	fol
lāto	v.perf.past
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

bhiṃmha	n
.	punc

surakṣaṇamha	p.correl
śaḍa	n
kāyakala	n
choyāva	cv.ant
nānā	d.quant
prakāra	n
pāta	n
pītāṃbara	n
yā	case.gen
ba	n
sta	n
hayāva	cv.ant
.	punc

basta	n
na	case.erg
tiyakā	v.perf.part
.	punc

śaḍa	n
gayakāva	cv.ant
.	punc

anega	d.quant
jātrā	n
yānyāva	cv.ant
.	punc

bādya	n
thācakāva	cv.ant
.	punc

ghari	adv.temp
byelā	n
svayāva	cv.ant
.	punc

rājā	n
rāni	n
ni	num
mhaṃ	cs.anim
duta	adv.dir
boṅaṃ	v.co
yanyāva	cv.ant
.	punc

rājaghala	n
sa	case.loc.inan
yanyāva	cv.ant
.	punc

sukha	n
bhoga	n
yākāva	cv.ant
talaṃ	v.perf.past
.	punc

thana	adv.conj
babu	n
rājā	n
naṃ	case.erg
mhyācayāta	v.perf.past
hātaṃ	v.perf.past
.	punc

aye	v.n
putrī	n
mhyāca	n
.	punc

chana	p.pers
bhāgyanaṃ	adv.conj
thathiṃmha	p.correl
bikramāditya	n
rājā	n
thiṃṅa	adv.deg
puruṣa	n
lāto	v.perf.past
.	punc

ji	p.pers
na	case.erg
ma	neg
siyā	v.perf.part
dhāsyaṃ	v.perf.past
.	punc

nānā	d.quant
bhogya	n
yācakāva	cv.ant
.	punc

sukhanaṃ	adv.conj
talaṃ	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
anega	d.quant
drabya	n
sahita	post.abs
.	punc

tisā	cv.cond
.	punc

nānā	d.quant
ba	n
sta	n
sahita	post.abs
yānyāva	cv.ant
.	punc

thava	p.refl
mhyācayāta	n
biyāva	cv.ant
.	punc

jilāja	n
na	case.erg
sahita	post.abs
thava	p.refl
rājye	n
sa	case.loc.inan
chotaṃ	v.perf.past
||	punc

thana	adv.man
thava	p.refl
rājya	n
thyanakāva	cv.ant
.	punc

rājagṛha	n
sa	case.loc.inan
du	v.impst
hāyāva	cv.ant
.	punc

maṃtrī	n
pani	case.abs.h.pl
nāpa	post.abs
lānyāva	cv.ant
.	punc

maṃtrīnaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

bijyāya	v.n
dhuna	v.impst
lā	cl.inter
dhakaṃ	v.dhak
rājā	n
yāta	case.dat
śivā	n
yānyāva	cv.ant
conaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
rājā	n
naṃ	case.erg
samasta	d.quant
bicāra	n
yātaṃ	v.perf.past
.	punc

thana	n
brāhmaṇa	n
yāta	case.dat
hātam	v.perf.past
.	punc

bho	interj
brāhmaṇa	n
cha	p.pers
phu	v.impst
makhā	adv.man
dhakaṃ	v.dhak
bicāra	n
yātaṃ	v.perf.past
.	punc

brāhmaṇa	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

gu	cs.inan
khunu	adv.conj
ji	p.pers
ta	case.dat
rājya	n
lava	cv.ant
lhāsyaṃ	v.co
chalapola	p.pers
pihā	n
bijyāta	v.perf.past
ukhunuṃ	p.indef
nisyaṃ	post.abs
.	punc

ji	p.pers
ma	neg
chiṅa	v.impst
.	punc

ji	p.pers
abhāgi	adj
yāṅaṃ	v.co
bijyāta	v.perf.past
khava	v.impst
.	punc

ji	p.pers
śarīla	n
yā	case.gen
śobhā	n
nāpaṃ	post.ass
ma	neg
data	v.perf.past
.	punc

chalapola	p.pers
yā	case.gen
rājya	n
ma	neg
yala	v.perf.past
.	punc

kāsya	adv.dir
bijyāhuni	v.ipv
.	punc

ji	p.pers
ta	case.dat
belā	n
biva	v.ipv
dhakaṃ	v.dhak
brāhmaṇa	n
naṃ	case.erg
rājā	n
hātaṃ	v.perf.past
||	punc

thvate	p.anaphor
kha	n
ṅaṅāva	cv.ant
rājā	n
naṃ	case.abl
brāhmaṇa	n
yāta	case.dat
bedā	n
bisyaṃ	v.co
chotaṃ	v.perf.past
||	punc

fn33	fol
bho	interj
rājā	n
ṅahune	v.n
dhakaṃ	v.dhak
.	punc

thathiṃmha	p.correl
rājā	n
yā	case.gen
siṃhāsāna	n
sa	case.loc.inan
cha	num
dane	v.n
ma	neg
te	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
putrikā	n
cha	num
mha	cs.anim
bosyaṃ	v.co
vanaṃ	v.perf.past
||	punc

3	num.ar
||	punc

III	n.prop
thvanaṃ	adv.conj
li	cv.anter
hanaṃ	adv.conj
putrikā	n
chamhasenaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

bhojadeba	n
.	punc

ji	p.pers
kha	n
ma	neg
ṅaṃsyaṃ	v.co
āmo	d.dem
siṃhāsana	n
sa	case.loc.inan
bijyāya	v.n
ma	neg
teva	v.impst
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

pūrba	n
kathā	n
ṅaṅā	v.perf.part
tayā	v.perf.part
kha	evid
kanaṃ	v.perf.past
||	punc

bikramāditya	n
rājā	n
naṃ	case.abl
paṃchibhā	n
sa	case.loc.inan
siva	cv.ant
.	punc

cha	num
nhu	num.time
yā	case.gen
dīna	n
sa	case.loc.inan
rājā	n
va	case.ass
.	punc

rānīva	cv.ant
.	punc

sabhā	n
dayakaṃ	v.perf.past
coṅā	v.perf.part
bela	n
sa	case.loc.inan
mācalakhuni	v.ipv
.	punc

bācalakhuni	n
ni	num
mha	cs.anim
juta	v.perf.past
vava	v.impst
.	punc

mācalakhuninaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
prabhu	n
nyahune	v.n
.	punc

chiji	n
bṛddhābaiśa	n
julo	v.perf.past
.	punc

jinaṃ	adv.conj
ṅaṅaṃ	adv.conj
tayā	v.perf.part
dava	v.impst
.	punc

*bahukusumāvati	n
(fn10b)	fol
svānanaṃ	v.perf.past
.	punc

chutasā	cv.cond
.	punc

li	cv.anter
lāhā	n
bu	n
hoīva	cv.ant
.	punc

thathiṃṅa	p.correl
bela	n
sa	case.loc.inan
.	punc

jimni	n
dayā	n
taruṇi	adj
juya	v.n
ma	neg
du	v.impst
lā	cl.inter
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
bikramāditya	n
rājā	n
.	punc

musuhuna	n
nhilaṃ	v.perf.past
.	punc

thva	d.dem
rājā	n
nhilāva	cv.ant
.	punc

rāni	n
naṃ	case.erg
rājā	n
yāke	case.loc.an
ṅanaṃ	v.perf.past
||	punc

bho	interj
prabhu	n
svāmi	n
.	punc

ji	p.pers
ati	adv.deg
kautuka	adj
julaṃ	v.perf.past
.	punc

āmo	d.dem
hetukha	n
niścayanaṃ	adv.man
phasakha	n
ma	neg
lhāsyaṃ	v.perf.past
.	punc

ji	p.pers
ta	case.dat
kane	v.n
māla	v.perf.past
dhakaṃ	v.dhak
ṅanaṃ	v.perf.past
.	punc

thana	adv.conj
rājā	n
na	case.erg
ma	neg
kaṅa	v.impst
.	punc

hanakaṃ	v.perf.past
rānīnaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

chalapolanaṃ	adv.conj
ji	p.pers
matyenā	adv.inter
julasā	cv.cond
.	punc

āmo	d.dem
hetukha	n
ji	p.pers
kanīva	cv.ant
.	punc

ji	p.pers
matenā	adj
ma	neg
khatasā	cv.cond
ji	p.pers
na	case.erg
chu	p.indef
dhāya	v.n
dhakaṃ	v.dhak
.	punc

rānīnaṃ	adv.conj
rājā	n
sake	case.loc.an
bimati	n
yāka	v.impst
||	punc

thana	adv.conj
rājā	n
naṃ	case.erg
va	case.ass
yāya	v.n
he	interj
ma	neg
siyāva	cv.ant
.	punc

khachi	num
sumukaṃ	adv.man
coṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
maten	n
yā	case.gen
strī	n
ṅava	cv.ant
.	punc

thugulī	n
kha	n
thva	d.dem
mācalakhuninaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
puruṣa	n
.	punc

chiji	n
jyātha	adj
juya	v.n
dhuno	v.perf.past
.	punc

āva	adv.temp
jyātha	adj
jithi	adj
juya	v.n
gāto	v.perf.past
.	punc

samudra	n
sa	case.loc.inan
vaṅāva	cv.ant
.	punc

bahukusumāvati	n
svānanaṃ	adv.conj
chuṅāva	cv.ant
.	punc

jimakhu	n
dayā	n
taruṇi	adj
juyāva	cv.ant
.	punc

sukhanaṃ	adv.conj
conya	adj
nuyo	v.perf.past
dhakaṃ	v.dhak
.	punc

nvākagu	n
kha	n
ṅaṅāva	cv.ant
thukā	evid
.	punc

ji	p.pers
nhilā	n
.	punc

dhakaṃ	v.dhak
dhālaṃ	v.perf.past
||	punc

thvate	p.anaphor
rājā	n
puruṣa	n
yā	case.gen
kha	n
ṅaṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
āma	d.dem
thya	post.abs
julasā	cv.cond
.	punc

āmathiṃgu	adv.conj
svāna	n
ji	p.pers
ta	case.dat
chuca	n
ke	case.loc.an
māla	v.perf.past
dhakaṃ	v.dhak
fn34	fol
dhālaṃ	v.perf.past
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
chī	adv.dur
strī	n
dhāyā	v.perf.part
kha	n
thukā	evid
cha	p.pers
kaṅā	v.perf.part
.	punc

ga	n
na	case.erg
kāya	v.n
.	punc

ga	n
na	case.erg
khanya	adj
.	punc

sunānaṃ	p.indef
siva	cv.ant
.	punc

suyāṃ	n
parākrama	n
ma	neg
dava	v.impst
.	punc

gvamha	p.correl
yā	case.gen
gamya	v.co
dava	v.impst
.	punc

pṛthibī	n
yā	case.gen
antara	n
sa	case.loc.inan
phule	v.n
.	punc

rākṣasa	n
yā	case.gen
thāya	n
sa	case.loc.inan
dhakaṃ	v.dhak
rājā	n
naṃ	case.erg
kanaṃ	v.perf.past
.	punc

punarbara	n
rānīnaṃ	v.perf.past
dhālam	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

paṃchi	adv.dur
calakhuni	n
yā	case.gen
thiṃ	adv.dir
mati	n
.	punc

parākrama	n
dava	v.impst
.	punc

chalapola	p.pers
sa	case.loc.inan
nāma	n
bikramāditya	n
juyāva	cv.ant
.	punc

chu	p.interrog
parākrama	n
.	punc

paṃchi	num
calakhuni	n
yā	case.gen
ti	v.ipv
nāpaṃ	post.ass
parākrama	n
ma	neg
du	v.impst
dhāsyaṃ	v.co
nvāka	v.perf.past
.	punc

āmo	d.dem
svāna	n
chu	p.interrog
jat	n
na	case.erg
yāṅānaṃ	v.perf.past
.	punc

ji	p.pers
ta	case.dat
chuca	n
ke	case.loc.an
māla	v.perf.past
dhakaṃ	v.dhak
dhāsyaṃ	v.perf.past
.	punc

siya	n
tvaṃ	v.co
tyalo	v.perf.past
dhaka	v.dhak
haṭha	n
yāṅānyāva	cv.ant
.	punc

rājā	n
syaṃ	case.erg.h
va	case.ass
yāya	v.n
he	interj
ma	neg
siyāva	cv.ant
.	punc

mahāduḥkha	n
juyāva	cv.ant
.	punc

sva	num
cā	n
pya	num
nhu	cs.time
to	v.impst
pasthā	n
na	case.erg
ma	neg
du	v.impst
.	punc

pasthā	n
na	case.erg
ma	neg
dayāva	cv.ant
samasta	d.quant
rājāsebaka	n
jukva	v.rel.part
saṃdeha	n
cāyāva	cv.ant
.	punc

duhkhanaṃ	adv.conj
va	case.ass
yāya	v.n
he	interj
ma	neg
siva	v.np
||	punc

thana	n
tha	adv.deg
thya	post.abs
ma	neg
khuto	v.perf.past
dhakāva	cv.ant
.	punc

mahājñānī	n
bicakṣaṇī	n
.	punc

bikramakeśaranaṃ	adv.conj
maṃtrī	n
yāke	case.loc.an
nyanaṃ	v.perf.past
.	punc

bho	interj
chī	n
maṃtrī	n
.	punc

ji	p.pers
bāju	n
yā	case.gen
chu	p.interrog
duḥkha	n
jula	v.perf.past
.	punc

ṅao	v.ipv
dhakaṃ	v.dhak
dhāraṃ	v.perf.past
.	punc

thana	n
maṃtrīnaṃ	adv.conj
rājā	n
bodhalapāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

gathiṃgū	adv.inter
khyāla	n
chalapolathiṃ	adj
ugra	n
mahārājā	n
juyāva	cv.ant
.	punc

āma	d.dem
thya	post.abs
mūḍha	n
jusyaṃ	v.co
bijyāya	v.n
lā	cl.inter
.	punc

(fn11a)	fol
parākrama	n
bhālapā	v.perf.part
rā	cl.inter
gathye	adv.inter
khava	v.impst
.	punc

chu	p.interrog
jula	v.perf.past
.	punc

ji	p.pers
kane	v.n
māla	v.perf.past
dhaka	v.dhak
dhāsyaṃ	v.perf.past
.	punc

nānā	d.quant
prakāraṇam	v.perf.past
bodha	n
yāṅāo	cv.ant
ṅanaṃ	v.perf.past
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
maṃtrī	n
ji	p.pers
duḥkha	n
chana	p.pers
ma	neg
siva	v.np
.	punc

ji	p.pers
na	case.erg
chu	p.indef
dhāya	v.n
.	punc

ji	p.pers
kalātanaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bahukusumāvati	n
svānanaṃ	adv.conj
chuca	n
ke	case.loc.an
māla	v.perf.past
dhaka	v.dhak
haṭha	n
yāṅāva	cv.ant
cona	v.impst
.	punc

thvate	p.anaphor
yā	case.gen
kāraṇa	n
sa	case.loc.inan
.	punc

